379 1828
250 248 1
87 86 5
367 366 3
186 335 5
0 124 3
193 260 3
4 356 2
34 133 2
166 165 23
333 355 5
234 196 1
272 34 2
218 214 5
306 307 5
362 269 5
358 4 2
170 78 3
234 318 3
327 239 5
297 47 2
66 63 2
4 95 10
138 261 2
178 310 5
152 364 10
204 5 3
271 269 2
120 112 5
40 238 2
242 246 1
326 120 3
356 359 3
368 366 3
10 360 1
210 141 2
360 12 1
136 267 5
4 113 5
5 369 5
269 98 1
235 247 5
24 25 3
285 286 10
374 96 10
102 104 2
238 40 2
263 5 3
195 292 1
365 283 2
97 178 18
334 264 2
4 98 5
98 95 5
40 7 3
270 323 3
15 13 1
198 195 1
235 333 3
9 10 1
291 290 7
334 243 1
58 191 5
331 264 2
97 187 5
8 1 3
39 330 9
332 246 1
40 36 3
290 207 17
51 52 3
314 327 5
61 293 10
70 177 5
92 93 10
138 139 3
4 88 2
246 244 1
279 278 5
197 234 1
272 271 2
331 334 6
311 4 10
334 265 2
213 214 5
40 122 10
78 169 3
231 267 5
357 358 19
1 5 15
374 241 8
271 274 2
286 285 10
275 1 2
194 11 1
15 26 1
4 283 2
29 30 5
294 47 2
251 228 8
141 209 2
194 8 1
198 292 1
147 138 2
166 219 5
294 296 5
78 186 17
5 272 7
5 262 3
371 153 3
211 260 3
48 5 3
269 89 2
4 312 3
248 251 1
258 229 3
323 46 5
16 26 1
12 8 1
83 82 3
119 128 5
205 40 25
43 5 5
13 14 1
270 136 5
118 172 5
40 67 5
207 289 2
281 326 5
347 345 5
260 211 3
188 189 2
124 0 3
342 251 5
10 8 1
33 369 15
210 142 2
234 170 3
5 33 5
121 111 5
36 41 3
242 237 2
36 40 3
335 186 5
156 74 10
47 125 2
305 369 5
195 197 1
198 234 1
94 269 3
11 10 1
134 133 2
92 106 3
83 167 3
101 102 2
20 19 2
13 15 1
365 284 5
181 245 2
270 117 10
62 63 2
159 160 2
189 188 2
280 281 10
258 211 3
209 143 2
4 358 2
5 320 2
105 91 3
267 77 5
58 38 5
103 133 2
214 166 25
135 209 3
98 272 5
333 40 33
222 220 3
272 98 5
38 127 3
324 325 3
32 138 15
166 218 10
113 4 5
322 320 5
80 151 3
250 251 1
272 5 7
34 134 2
313 269 3
123 126 3
358 356 29
186 78 17
251 348 5
252 249 1
158 160 2
74 156 10
5 95 10
282 4 5
10 194 1
111 120 5
269 271 2
4 55 2
227 0 5
95 269 1
98 48 1
62 195 1
32 147 2
108 13 1
323 322 20
357 132 3
40 233 10
123 0 3
325 320 5
108 15 1
364 152 10
195 62 1
355 44 5
335 105 8
25 26 11
305 39 2
272 95 5
190 79 5
161 54 5
166 327 15
5 199 3
243 244 1
125 80 2
185 54 10
42 323 5
124 123 3
239 182 2
33 5 5
105 92 8
138 32 15
9 194 5
265 242 2
150 155 3
355 308 5
197 195 1
27 25 3
374 131 3
223 222 3
293 292 5
269 49 1
268 274 10
302 75 2
209 141 2
167 135 3
153 372 3
112 120 5
148 8 3
1 96 3
64 19 2
149 152 5
4 203 13
196 198 1
292 293 5
81 166 3
77 267 5
62 197 1
328 35 10
246 332 1
80 81 10
352 173 3
49 98 1
262 32 6
189 81 2
29 40 5
241 374 8
26 27 3
314 158 2
179 97 3
38 6 5
322 321 3
101 104 2
141 142 2
62 78 1
199 5 3
202 201 3
284 282 10
248 253 1
284 365 5
239 241 13
231 85 5
218 166 10
174 175 2
4 282 5
271 4 2
305 330 7
190 163 3
272 48 7
166 221 3
39 370 2
237 238 2
5 275 4
210 143 2
25 337 5
62 292 1
100 103 2
292 78 24
6 329 5
333 28 5
41 7 3
326 167 15
359 356 3
369 32 18
237 235 2
40 247 15
24 231 15
26 337 5
244 243 1
274 269 2
55 4 2
274 270 5
142 141 2
326 251 18
207 291 7
338 336 5
333 247 23
161 202 3
98 269 1
14 16 1
358 347 5
252 168 10
32 260 5
42 46 5
135 327 3
364 175 2
251 250 1
132 358 3
253 248 1
377 40 5
261 369 5
95 94 5
252 248 1
81 78 5
126 0 3
272 4 18
353 171 10
260 138 2
374 240 3
314 315 5
345 358 5
162 247 15
363 247 5
245 244 1
372 153 3
168 252 10
138 260 2
269 312 3
38 35 11
226 224 5
65 64 2
275 4 4
1 2 5
141 140 2
12 360 1
198 78 1
236 241 5
364 156 5
248 354 1
32 369 18
210 140 2
177 340 2
178 97 18
8 26 21
119 120 23
63 62 2
330 216 5
15 108 1
29 31 10
183 257 2
0 121 5
264 242 2
130 257 2
331 242 9
323 137 3
39 37 3
96 5 3
50 51 3
310 178 5
166 167 29
176 320 3
269 203 5
166 297 3
57 356 2
330 127 6
335 106 3
56 5 2
244 331 1
261 138 2
159 314 2
359 357 3
247 162 15
370 305 12
327 82 3
327 209 3
351 268 10
326 281 5
26 14 1
1 148 3
277 276 10
244 245 1
62 64 2
230 223 3
130 239 5
137 139 3
4 5 42
302 300 2
358 57 2
243 332 1
191 38 5
364 149 5
56 275 2
372 371 3
159 158 2
326 166 10
88 94 2
15 16 1
81 186 2
354 250 1
86 87 5
68 69 5
38 39 6
91 92 8
166 164 8
10 9 1
40 29 5
260 32 5
53 54 10
320 325 5
1 275 2
163 190 3
269 4 29
308 355 5
237 70 10
345 347 5
4 1 35
54 161 5
369 5 5
283 365 2
120 119 23
325 5 2
331 244 1
40 41 3
26 148 3
94 95 5
109 276 5
296 294 5
374 239 11
156 114 10
265 264 2
177 70 5
5 325 2
360 194 10
251 342 5
281 280 10
195 198 1
214 213 5
157 314 2
80 47 2
28 29 5
18 19 2
8 25 3
80 125 2
295 292 5
267 274 5
87 364 5
151 155 3
119 127 3
196 234 1
247 333 23
94 88 2
173 352 3
268 266 10
296 81 5
369 262 3
116 40 10
25 108 3
40 69 5
109 110 5
290 209 2
166 214 25
72 70 3
274 268 10
284 4 5
369 260 5
211 172 5
326 327 47
48 269 3
39 305 2
330 305 7
314 157 2
167 59 2
237 247 2
81 296 5
228 343 3
45 355 5
373 153 5
326 0 8
323 321 3
370 369 5
169 234 3
157 160 2
78 335 5
202 200 3
181 237 2
292 295 5
97 81 5
117 270 10
312 313 3
354 251 1
5 49 1
8 148 3
133 134 2
110 300 2
366 367 3
282 283 7
128 0 5
322 323 20
174 364 2
73 194 3
78 198 1
194 10 1
66 65 2
125 47 2
339 70 2
189 78 5
0 126 3
153 154 5
14 13 1
138 137 13
297 294 5
303 270 5
82 83 3
38 326 6
282 365 5
15 17 1
40 50 3
222 230 3
242 331 9
62 196 1
352 364 3
148 26 3
2 3 5
188 190 2
242 264 2
296 297 5
48 4 7
269 88 2
89 269 2
124 126 3
331 332 1
329 38 5
140 209 2
283 284 7
167 327 22
32 139 3
189 292 3
167 344 10
216 217 5
376 171 3
203 5 8
228 251 8
334 331 6
23 240 10
97 310 5
356 57 2
189 234 3
164 165 8
129 119 5
173 175 2
249 248 1
376 156 13
334 242 6
237 245 2
143 140 2
282 284 10
49 94 1
9 73 3
119 0 23
103 100 2
224 225 15
172 211 5
17 26 1
71 177 5
237 242 2
242 181 2
274 4 7
192 40 5
331 237 2
24 26 3
203 4 13
360 73 3
251 248 1
193 261 8
127 38 3
153 373 5
120 111 5
5 48 3
331 243 1
300 110 2
240 298 3
331 245 9
0 59 3
20 18 2
194 12 1
263 262 6
164 167 3
171 376 3
221 166 3
143 141 2
138 369 2
235 40 5
160 314 2
263 369 3
12 10 1
108 16 1
287 272 5
146 323 6
81 190 5
269 94 3
40 211 10
290 291 7
63 60 2
234 195 1
46 323 5
38 37 8
330 38 21
269 48 3
245 243 1
39 38 6
8 108 8
275 5 4
283 4 2
326 227 5
40 205 25
326 35 6
59 327 7
378 0 2
305 370 12
369 40 5
112 119 5
5 323 12
235 238 2
