111 588
74 72 1
73 83 1
83 76 1
23 88 5
73 74 1
8 9 5
4 60 7
33 31 1
2 85 2
55 15 5
3 43 2
88 84 10
45 60 5
16 19 1
87 2 2
19 17 1
46 60 5
7 48 2
2 9 10
26 84 1
70 90 2
71 103 10
22 44 3
89 29 3
64 66 1
94 98 5
41 42 20
63 67 1
20 32 1
45 39 3
17 6 1
68 55 23
98 94 5
24 88 1
97 8 10
3 11 5
88 26 1
66 67 1
42 41 20
3 104 5
95 11 1
34 32 1
44 35 3
32 31 1
34 31 1
23 25 1
17 108 1
13 110 2
98 97 2
85 86 19
45 53 6
2 11 5
104 89 5
95 1 2
83 73 1
11 9 5
65 64 1
24 26 1
45 46 47
96 42 3
80 95 3
102 27 3
32 30 1
102 14 2
59 68 2
50 96 5
23 24 1
57 64 1
20 22 21
110 13 2
45 37 8
26 23 1
22 1 3
81 97 4
62 67 1
108 100 1
108 58 5
25 84 1
84 88 10
42 40 9
67 64 1
14 39 3
57 66 6
10 110 5
31 30 1
41 43 20
94 96 38
6 5 14
14 102 2
69 40 3
20 35 35
83 75 1
3 81 1
106 52 3
104 90 5
42 43 20
4 52 2
67 65 1
88 25 1
96 94 38
89 90 8
108 19 1
62 57 1
84 24 1
17 16 1
75 45 18
14 45 20
52 4 2
13 108 5
61 57 6
77 73 1
95 3 11
1 95 2
66 59 2
100 6 1
70 69 13
25 26 1
53 45 6
40 42 9
108 16 1
86 87 19
90 29 8
3 41 2
32 34 1
19 18 1
75 83 1
1 20 3
88 24 1
13 6 3
63 61 9
99 1 2
84 25 1
32 20 1
100 17 1
19 16 1
84 22 1
12 110 15
43 41 20
6 13 3
19 5 1
77 83 1
63 62 1
80 2 7
33 34 1
101 100 2
97 98 2
83 72 1
61 62 1
29 89 3
34 35 1
91 69 13
5 17 1
102 46 22
13 5 3
5 19 1
75 77 31
8 2 22
57 61 6
33 20 1
26 22 1
18 5 1
30 31 1
48 7 2
73 72 1
89 104 5
57 63 6
59 66 2
43 42 20
80 9 1
81 8 1
38 37 23
24 22 1
82 54 5
18 108 1
99 95 4
27 46 3
59 63 2
9 80 1
34 33 1
35 20 35
57 62 1
96 50 5
63 59 2
98 2 7
29 56 10
108 6 21
108 110 5
66 61 9
16 18 1
68 56 15
19 6 1
37 45 8
8 95 3
25 24 1
75 72 1
76 74 1
3 80 3
46 27 3
61 64 1
30 32 1
60 49 3
56 15 25
57 65 1
108 13 5
80 11 1
31 34 1
49 106 3
56 104 5
81 9 1
61 66 9
37 14 3
30 20 1
56 59 2
22 23 1
84 26 1
53 46 11
79 78 5
13 12 2
44 22 3
109 12 2
1 3 15
2 87 2
3 40 2
80 3 3
9 3 10
37 38 23
62 66 1
70 104 2
84 23 5
12 13 2
26 24 1
110 93 3
35 33 1
60 46 5
110 48 5
11 97 5
55 56 33
73 77 1
97 11 5
15 55 5
20 1 3
91 70 15
56 29 10
30 33 1
6 16 1
47 53 21
41 40 5
22 88 1
95 80 3
66 64 1
54 53 6
74 75 1
39 45 3
22 35 8
99 3 4
12 109 2
97 3 7
48 109 2
22 26 1
74 76 1
14 46 7
8 3 5
40 41 5
7 92 3
87 85 29
63 64 1
104 56 5
76 73 1
3 42 12
3 9 10
47 38 18
97 81 4
24 84 1
1 22 3
91 3 3
79 103 5
104 91 18
23 84 5
60 106 11
25 88 1
9 95 1
75 56 10
30 34 1
110 109 16
11 80 1
100 16 1
3 95 11
35 30 1
65 62 1
8 97 10
3 97 7
11 8 5
39 14 3
16 108 1
9 2 10
16 5 1
43 40 5
74 83 1
72 76 1
77 74 1
35 32 1
103 71 10
42 96 3
18 100 1
16 100 1
106 60 11
41 3 2
109 108 2
44 20 11
97 9 5
63 65 1
92 46 15
5 100 1
64 65 1
65 57 1
92 110 3
95 9 1
64 61 1
80 97 7
72 75 1
26 25 1
110 12 15
66 57 6
9 8 5
35 34 1
67 66 1
49 60 3
108 109 2
6 19 1
95 81 1
3 1 15
96 98 5
64 67 1
81 11 1
59 61 2
67 63 1
35 44 3
102 45 15
14 37 3
8 81 1
6 18 1
95 8 3
8 80 1
81 3 1
17 19 1
76 83 1
56 75 10
64 57 1
85 2 2
110 92 3
72 73 1
100 18 1
25 22 1
67 62 1
81 2 4
78 79 5
85 87 29
100 19 1
62 63 1
33 30 1
6 100 1
110 7 9
40 3 2
60 4 7
52 60 5
94 50 5
100 108 1
20 33 1
20 44 11
52 106 3
2 8 22
50 94 5
7 110 9
69 42 3
37 39 26
72 77 1
62 64 1
83 77 1
93 109 3
88 22 1
11 3 5
3 91 3
46 51 5
59 56 2
8 11 5
56 55 33
97 80 7
108 12 5
5 6 14
2 98 7
45 14 20
75 73 1
110 10 5
60 52 5
3 99 4
46 53 11
42 94 3
100 5 1
6 108 21
5 18 1
16 6 1
5 108 24
92 14 2
2 97 18
45 102 15
72 74 1
56 68 15
54 47 9
65 63 1
22 25 1
64 63 1
58 108 5
2 81 4
80 8 1
98 96 5
86 2 2
45 75 18
81 95 1
55 68 23
70 91 15
18 6 1
18 19 1
31 20 1
11 95 1
57 67 1
31 33 1
92 45 10
2 86 2
46 92 15
88 23 5
29 90 8
5 13 3
95 98 2
91 89 5
27 28 7
109 93 3
6 17 1
75 74 1
12 108 5
27 102 3
18 17 1
77 72 1
33 35 1
2 95 29
14 92 2
90 104 5
23 22 1
16 17 1
18 16 1
76 72 1
110 108 5
87 86 19
1 2 35
60 45 5
22 24 1
97 2 18
30 35 1
89 70 2
106 49 3
2 99 4
66 65 1
97 95 6
3 8 5
39 37 26
65 67 1
70 89 2
98 95 2
109 48 2
75 76 1
35 22 8
40 69 3
66 62 1
63 57 6
62 61 1
99 2 4
108 17 1
26 88 1
93 110 3
19 108 1
62 65 1
103 79 5
72 83 1
91 104 18
38 47 18
67 57 1
15 56 25
22 20 21
38 39 23
73 76 1
95 97 6
56 79 10
17 18 1
1 99 2
89 91 5
32 35 1
11 81 1
76 75 1
74 73 1
77 75 31
58 0 21
33 32 1
47 54 9
61 63 9
42 69 3
24 25 1
108 18 1
23 26 1
19 100 1
77 76 1
92 102 29
20 34 1
9 11 5
69 70 13
0 58 21
92 7 3
28 27 7
20 30 1
107 36 12
90 91 5
76 77 1
65 61 1
90 70 2
104 70 2
31 32 1
54 82 5
9 97 5
61 59 2
102 92 29
21 97 2
34 30 1
61 67 1
20 31 1
17 100 1
97 21 2
22 84 1
48 110 5
46 102 22
46 14 7
91 90 5
66 63 9
65 66 1
100 101 2
79 56 10
9 81 1
108 5 24
2 3 42
73 75 1
64 62 1
34 20 1
81 80 4
69 91 13
25 23 1
105 59 10
42 3 12
45 92 10
17 5 1
95 99 4
94 42 3
32 33 1
83 74 1
53 54 6
68 59 2
67 61 1
86 85 19
80 81 4
24 23 1
31 35 1
40 43 5
5 16 1
36 107 12
3 2 42
95 2 29
59 105 10
53 47 21
2 80 7
2 1 35
46 45 47
104 3 5
39 38 23
109 110 16
11 2 5
43 3 2
63 66 9
90 89 8
51 46 5
74 77 1
35 31 1
61 65 1
